latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
48.059,37.953,328.3,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,288.7,0,N
51.461,6.737,307.2,0.7,0.8,2016-07-12,0015,N,nominal,1.0NRT,282.1,0,N
50.93,21.674,308.9,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,289,0,N
47.833,38.48,297.7,0.6,0.5,2016-07-12,0015,N,nominal,1.0NRT,287.7,0,N
51.181,16.11,302.2,0.6,0.5,2016-07-12,0015,N,nominal,1.0NRT,281.9,0,N
48.49,34.977,329.8,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,291.9,0,N
48.487,34.975,299.7,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.2,0,N
48.48,34.983,303.1,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,290.4,0,N
48.479,34.988,299.3,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,289.1,0,N
48.471,34.967,310.1,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,290.9,0,N
48.47,34.972,300,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,289,0,N
48.532,34.647,324.8,0.6,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.4,0,N
48.534,34.649,327,0.6,0.4,2016-07-12,0015,N,nominal,1.0NRT,289.5,0,N
48.524,34.619,306.4,0.6,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.2,0,N
48.52,34.634,308.2,0.6,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.5,0,N
48.474,34.633,303.5,0.6,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.2,0,N
50.348,19.295,305.1,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,284.4,0,N
50.34,19.293,324.3,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,283.3,0,N
47.878,35.189,299.7,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,289,0,N
50.337,19.28,299.6,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,281.1,0,N
50.336,19.286,306.9,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,282.5,0,N
50.336,19.292,315.5,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,282,0,N
47.871,35.162,321.1,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,292.5,0,N
47.868,35.154,306.1,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,290.5,0,N
47.865,35.147,302.6,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,291.8,0,N
47.861,35.145,311.8,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,291.6,0,N
47.859,35.143,312.1,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,290.9,0,N
47.207,37.55,300.7,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,285.4,0,N
47.165,37.557,305.9,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,287.7,0,N
47.16,37.555,302.1,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,286.5,0,N
47.157,37.568,298.8,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,288,0,N
47.157,37.53,328.2,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,285.5,0,N
47.144,37.577,304.2,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,288.8,0,N
47.142,37.584,304.1,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,290.3,0,N
47.13,37.632,303.7,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,287.9,0,N
47.138,37.581,314.5,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,288,0,N
47.863,34.634,305.2,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,286,0,N
47.864,34.632,301.4,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,286.3,0,N
47.863,34.637,296.8,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,285.7,0,N
47.159,37.531,315,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,285.6,0,N
47.133,37.633,298.9,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,287.6,0,N
47.155,37.528,318.8,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,284,0,N
47.142,37.575,303.6,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,287.5,0,N
47.141,37.582,318.5,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,290.5,0,N
47.139,37.589,300.9,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,287.9,0,N
47.136,37.58,299.5,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,287.1,0,N
47.104,37.586,302.2,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,288,0,N
47.103,37.592,303.1,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,287.7,0,N
47.095,37.603,332.6,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,290.1,0,N
50.077,20.099,297.1,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,281.2,0,N
47.884,33.449,321,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,290.4,0,N
47.874,33.437,305.5,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,289,0,N
47.876,33.408,333.7,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.7,0,N
47.875,33.415,314.7,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,290.1,0,N
47.867,33.434,332.3,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,289.6,0,N
47.87,33.42,300.5,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,286.4,0,N
47.876,33.371,297.7,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,286,0,N
47.875,33.378,301.2,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,289,0,N
47.873,33.384,304.4,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,289,0,N
47.872,33.391,318.5,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,289,0,N
47.863,33.432,303.4,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,287,0,N
47.868,33.389,298.4,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.1,0,N
47.845,33.386,304,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.8,0,N
47.841,33.384,303.3,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.5,0,N
47.631,34.325,300.6,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.9,0,N
47.627,34.345,304.5,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,291.3,0,N
47.626,34.35,300.1,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,289.4,0,N
47.628,34.323,319.1,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,289.4,0,N
47.82,33.351,308,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.6,0,N
47.817,33.351,305.5,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.2,0,N
49.782,18.32,298.1,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,278.6,0,N
48.167,30.619,309.2,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,286.6,0,N
48.164,30.618,342.7,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,292.7,0,N
48.165,30.612,305.6,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,289.8,0,N
